time_bucket,service,raw_rps,smoothed_rps,prev_replicas,new_replicas,action,reason
1761367140,adservice,0.5218682717034451,0.5218682717034451,1,1,NO_CHANGE,"RPS 0.5 within stable range [0.0, 10.0)"
1761367140,cartservice,1.0794613064922538,1.0794613064922538,1,1,NO_CHANGE,"RPS 1.1 within stable range [0.0, 10.0)"
1761367140,currencyservice,5.271938451474346,5.271938451474346,1,1,NO_CHANGE,"RPS 5.3 within stable range [0.0, 10.0)"
1761367140,emailservice,0.0051897777777777,0.0051897777777777,1,1,NO_CHANGE,"RPS 0.0 within stable range [0.0, 10.0)"
1761367140,paymentservice,0.0173015978843033,0.0173015978843033,1,1,NO_CHANGE,"RPS 0.0 within stable range [0.0, 10.0)"
1761367140,productcatalogservice,4.014681414176676,4.014681414176676,1,1,NO_CHANGE,"RPS 4.0 within stable range [0.0, 10.0)"
1761367140,recommendationservice,0.5483555555555556,0.5483555555555556,1,1,NO_CHANGE,"RPS 0.5 within stable range [0.0, 10.0)"
1761367140,shippingservice,0.1549413333333333,0.1549413333333333,1,1,NO_CHANGE,"RPS 0.2 within stable range [0.0, 10.0)"
1761367200,adservice,2.633873016359891,2.000271592962957,1,1,NO_CHANGE,"RPS 2.0 within stable range [0.0, 10.0)"
1761367200,cartservice,4.733286796707424,3.6371391496428727,1,1,NO_CHANGE,"RPS 3.6 within stable range [0.0, 10.0)"
1761367200,checkoutservice,0.0892937858694874,0.0892937858694874,1,1,NO_CHANGE,"RPS 0.1 within stable range [0.0, 10.0)"
1761367200,currencyservice,23.908465639280692,18.317507482938787,1,2,UPSCALE,RPS 18.3 >= 10.0 (scale-up threshold)
1761367200,emailservice,0.0857587764556662,0.06158807685229964,1,1,NO_CHANGE,"RPS 0.1 within stable range [0.0, 10.0)"
1761367200,paymentservice,0.1013676109161907,0.07614780700662448,1,1,NO_CHANGE,"RPS 0.1 within stable range [0.0, 10.0)"
1761367200,productcatalogservice,19.71353227109458,15.003877014019206,1,2,UPSCALE,RPS 15.0 >= 10.0 (scale-up threshold)
1761367200,recommendationservice,2.357760172571555,1.814938787466755,1,1,NO_CHANGE,"RPS 1.8 within stable range [0.0, 10.0)"
1761367200,shippingservice,1.3413716103918618,0.9854425272743033,1,1,NO_CHANGE,"RPS 1.0 within stable range [0.0, 10.0)"
1761367260,adservice,5.4854064201507775,4.439865971994431,1,1,NO_CHANGE,"RPS 4.4 within stable range [0.0, 10.0)"
1761367260,cartservice,9.57959370201302,7.796857336301976,1,1,NO_CHANGE,"RPS 7.8 within stable range [0.0, 10.0)"
1761367260,checkoutservice,0.2303075149301752,0.18800339621196888,1,1,NO_CHANGE,"RPS 0.2 within stable range [0.0, 10.0)"
1761367260,currencyservice,49.68565131186649,40.275208163188175,2,3,UPSCALE,RPS 40.3 >= 30.0 (scale-up threshold)
1761367260,emailservice,0.2354299052510116,0.183277356731398,1,1,NO_CHANGE,"RPS 0.2 within stable range [0.0, 10.0)"
1761367260,paymentservice,0.2367287655875898,0.1885544780133002,1,1,NO_CHANGE,"RPS 0.2 within stable range [0.0, 10.0)"
1761367260,productcatalogservice,40.85009263837371,33.096227951067355,2,3,UPSCALE,RPS 33.1 >= 30.0 (scale-up threshold)
1761367260,recommendationservice,4.689251424769661,3.826957633578789,1,1,NO_CHANGE,"RPS 3.8 within stable range [0.0, 10.0)"
1761367260,shippingservice,2.863141082763437,2.299831516116697,1,1,NO_CHANGE,"RPS 2.3 within stable range [0.0, 10.0)"
1761367320,adservice,9.195152593826238,7.7685666072766955,1,1,NO_CHANGE,"RPS 7.8 within stable range [0.0, 10.0)"
